number,ngc,common_name,ra_deg,dec_deg,constellation,angular_size_arcmin,magnitude,distance_pc
39,NGC 7092,,322.8750,48.4333,Cygnus,32.0,4.6,311
40,,Winnecke 4,185.5500,58.0833,Ursa Major,1.0,8.4,155
41,NGC 2287,,101.5000,-20.7500,Canis Major,38.0,4.5,710
42,NGC 1976,Orion Nebula,83.8221,-5.3911,Orion,85.0,4.0,414
43,NGC 1982,De Mairan's Nebula,83.8792,-5.2700,Orion,20.0,9.0,414
44,NGC 2632,Beehive Cluster,130.1000,19.6667,Cancer,95.0,3.7,187
45,,Pleiades,56.8500,24.1167,Taurus,110.0,1.6,136
46,NGC 2437,,115.4417,-14.8333,Puppis,27.0,6.1,1600
47,NGC 2422,,114.1500,-14.4833,Puppis,30.0,4.4,450
48,NGC 2548,,123.4208,-5.7500,Hydra,54.0,5.8,770
49,NGC 4472,,187.4450,8.0004,Virgo,10.0,8.4,16800000
50,NGC 2323,,105.6958,-8.3333,Monoceros,16.0,5.9,950
51,NGC 5194,Whirlpool Galaxy,202.4696,47.1951,Canes Venatici,11.0,8.4,8400000
52,NGC 7654,,351.1958,61.5833,Cassiopeia,13.0,6.9,1500
53,NGC 5024,,198.2304,18.1681,Coma Berenices,13.0,7.6,17900
54,NGC 6715,,283.7638,-30.4795,Sagittarius,9.1,7.6,26500
55,NGC 6809,,294.9988,-30.9647,Sagittarius,19.0,6.3,5300
56,NGC 6779,,289.1483,30.1836,Lyra,7.1,8.3,9800
57,NGC 6720,Ring Nebula,283.3962,33.0292,Lyra,1.4,8.8,700
58,NGC 4579,,189.4314,11.8181,Virgo,5.5,9.7,19100000
59,NGC 4621,,190.5094,11.6469,Virgo,5.1,9.6,19900000
60,NGC 4649,,190.9167,11.5528,Virgo,7.2,8.8,16500000
61,NGC 4303,,185.4790,4.4736,Virgo,6.5,9.7,15700000
62,NGC 6266,,255.3033,-30.1139,Ophiuchus,14.1,6.5,6800
63,NGC 5055,Sunflower Galaxy,198.9555,42.0293,Canes Venatici,12.6,8.6,9000000
64,NGC 4826,Black Eye Galaxy,194.1825,21.6827,Coma Berenices,10.0,8.5,7500000
65,NGC 3623,,169.7336,13.0923,Leo,8.0,9.3,11200000
66,NGC 3627,,170.0625,12.9913,Leo,8.0,8.9,11100000
67,NGC 2682,,132.8250,11.8000,Cancer,30.0,6.1,850
68,NGC 4590,,189.8667,-26.7439,Hydra,12.0,7.3,10300
69,NGC 6637,,277.8463,-32.3483,Sagittarius,7.1,7.6,7100
70,NGC 6681,,280.8031,-32.2921,Sagittarius,8.0,7.9,9000
71,NGC 6838,,298.4437,18.7792,Sagitta,7.2,8.2,4000
72,NGC 6981,,313.3646,-12.5372,Aquarius,6.6,9.2,17000
73,NGC 6994,,314.7500,-12.6333,Aquarius,2.8,9.0,800
74,NGC 628,,24.1742,15.7836,Pisces,10.0,9.4,9700000
75,NGC 6864,,301.5204,-21.9225,Sagittarius,6.0,8.5,20900
76,NGC 650,Little Dumbbell,25.5819,51.5753,Perseus,2.7,10.1,780
77,NGC 1068,Cetus A,40.6696,-0.0133,Cetus,7.1,8.9,14400000
78,NGC 2068,,86.6902,0.0790,Orion,8.0,8.3,500
79,NGC 1904,,81.0462,-24.5243,Lepus,8.7,8.0,12900
80,NGC 6093,,244.2600,-22.9764,Scorpius,8.9,7.3,10000
81,NGC 3031,Bode's Galaxy,148.8882,69.0653,Ursa Major,21.0,6.9,3600000
82,NGC 3034,Cigar Galaxy,148.9700,69.6797,Ursa Major,9.0,8.4,3600000
83,NGC 5236,Southern Pinwheel,204.2535,-29.8653,Hydra,12.9,7.5,4700000
84,NGC 4374,,186.2657,12.8870,Virgo,6.5,9.1,18400000
85,NGC 4382,,186.3504,18.1915,Coma Berenices,7.1,9.1,18700000
86,NGC 4406,,186.5490,12.9462,Virgo,8.9,8.9,16830000
87,NGC 4486,Virgo A,187.7059,12.3911,Virgo,7.2,8.6,16400000
88,NGC 4501,,187.9967,14.4201,Coma Berenices,7.0,9.6,16800000
89,NGC 4552,,188.9158,12.5564,Virgo,5.1,9.8,15000000
90,NGC 4569,,189.2076,13.1629,Virgo,9.5,9.5,17000000
91,NGC 4548,,188.8601,14.4962,Coma Berenices,5.4,10.2,19400000
92,NGC 6341,,259.2808,43.1358,Hercules,14.0,6.4,8200
93,NGC 2447,,116.1375,-23.8583,Puppis,22.0,6.2,1140
94,NGC 4736,,192.7212,41.1204,Canes Venatici,11.2,8.1,4700000
95,NGC 3351,,160.9904,11.7037,Leo,7.4,9.7,11000000
96,NGC 3368,,161.6905,11.8198,Leo,7.1,9.2,11600000
97,NGC 3587,Owl Nebula,168.6988,55.0189,Ursa Major,3.4,9.9,650
98,NGC 4192,,183.4513,14.9003,Coma Berenices,9.5,10.1,14400000
99,NGC 4254,,184.7067,14.4164,Coma Berenices,5.4,9.9,15000000
100,NGC 4321,,185.7289,15.8216,Coma Berenices,7.4,9.3,16800000
101,NGC 5457,Pinwheel Galaxy,210.8023,54.3490,Ursa Major,28.8,7.9,6400000
102,NGC 5866,Spindle Galaxy,226.6229,55.7632,Draco,6.5,9.9,15000000
103,NGC 581,,23.3417,60.6583,Cassiopeia,6.0,7.4,2500
104,NGC 4594,Sombrero Galaxy,189.9976,-11.6231,Virgo,8.7,8.0,9550000
105,NGC 3379,,161.9566,12.5816,Leo,5.4,9.8,10900000
106,NGC 4258,,184.7396,47.3040,Canes Venatici,18.6,8.4,7200000
107,NGC 6171,,248.1325,-13.0539,Ophiuchus,13.0,8.9,6400
108,NGC 3556,,167.8791,55.6741,Ursa Major,8.7,10.0,14100000
109,NGC 3992,,179.3999,53.3749,Ursa Major,7.6,9.8,17000000
110,NGC 205,,10.0924,41.6853,Andromeda,21.9,8.0,824000
