hip,name,bayer,ra_deg,dec_deg,parallax_mas,pm_ra_mas_yr,pm_dec_mas_yr,mag_v,bp_rp,spectral_type,radial_velocity_kms,hd
26311,Alnilam,ε Ori,84.0534,-1.2019,2.43,1.49,-1.06,1.69,-0.19,B0Ia,25.9,37128
109268,Alnair,α Gru,332.0583,-46.9611,32.16,127.6,-147.15,1.74,-0.14,B6V,11.8,209952
26727,Alnitak,ζ Ori,85.1897,-1.9426,4.43,3.99,2.02,1.77,-0.21,O9.5Ib,18.5,37742
62956,Alioth,ε UMa,193.5073,55.9598,39.51,111.74,-8.99,1.77,-0.02,A1III-IVp,-9.3,112185
54061,Dubhe,α UMa,165.9319,61.7511,26.54,-136.46,-35.25,1.79,1.07,K0III,-9.4,95689
15863,Mirfak,α Per,51.0808,49.8612,6.44,24.11,-26.31,1.79,0.48,F5Ib,-2.0,20902
34444,Wezen,δ CMa,107.0982,-26.3932,2.03,-2.75,3.33,1.83,0.69,F8Ia,34.3,54605
87073,Sargas,θ Sco,264.3300,-42.9981,11.99,6.11,-87.65,1.87,0.41,F1III,1.4,159532
90185,Kaus Australis,ε Sgr,276.0430,-34.3845,22.76,-39.42,-124.20,1.85,-0.03,B9.5III,-15.0,169022
66657,Alkaid,η UMa,206.8852,49.3133,30.86,-121.17,-15.61,1.86,-0.11,B3V,-11.0,120315
28360,Menkalinan,β Aur,89.8821,44.9474,39.72,-56.41,-0.95,1.90,0.10,A1IV,-18.0,40183
82273,Atria,α TrA,252.1662,-69.0278,8.35,17.85,-32.92,1.92,1.37,K2IIb-IIIa,-3.4,150798
32246,Alhena,γ Gem,99.4279,16.3993,29.84,-2.47,-13.81,1.93,0.05,A1IV,-12.5,47105
100751,Peacock,α Pav,306.4120,-56.7350,17.99,7.71,-86.02,1.94,-0.15,B2IV,2.0,193924
42913,Mirzam,β CMa,95.6748,-17.9559,6.53,-3.23,-0.78,1.98,-0.23,B1II-III,33.7,44743
46390,Alphard,α Hya,141.8967,-8.6586,18.13,-14.49,33.74,1.98,1.44,K3II-III,-4.3,81797
11767,Polaris,α UMi,37.9546,89.2641,7.54,44.22,-11.74,1.98,0.64,F7Ib,-17.4,8890
46391,Mirzam,β CMa,95.6748,-17.9559,6.53,-3.23,-0.78,1.98,-0.23,B1II-III,33.7,44743
9884,Hamal,α Ari,31.7933,23.4625,49.56,190.73,-145.77,2.00,1.15,K2III,-14.2,12929
107315,Enif,ε Peg,326.0462,9.8749,4.85,26.92,0.44,2.39,1.56,K2Ib,5.0,206778
113881,Scheat,β Peg,345.9437,28.0828,16.64,187.65,137.61,2.42,1.67,M2.5II-III,7.5,217906
57632,Denebola,β Leo,177.2649,14.5720,90.91,-499.02,-113.78,2.14,0.09,A3V,0.0,102647
9640,Almach,γ And,30.9747,42.3298,9.19,42.85,-50.83,2.14,1.37,K3IIb,-12.0,12533
81377,Rasalhague,α Oph,263.7335,12.5601,67.13,110.08,-222.61,2.07,0.16,A5III,12.6,159561
14576,Algol,β Per,47.0422,40.9556,35.14,2.39,-1.44,2.12,-0.05,B8V,3.7,19356
26634,Saiph,κ Ori,86.9391,-9.6696,4.52,1.46,-1.65,2.09,-0.18,B0.5Ia,20.5,38771
14135,Menkar,α Cet,45.5699,4.0897,13.09,-11.81,-78.76,2.53,1.72,M1.5IIIa,-26.1,18884
57939,Muphrid,η Boo,208.6712,18.3975,88.17,-60.95,-354.67,2.68,0.56,G0IV,0.0,121370
113963,Alpheratz,α And,2.0969,29.0906,33.62,135.68,-162.95,2.06,-0.11,B8IVp,-12.0,358
677,Caph,β Cas,2.2945,59.1498,59.58,523.5,-180.42,2.27,0.38,F2III-IV,12.6,432
2081,Algenib,γ Peg,3.3090,15.1836,9.73,4.70,-8.24,2.83,-0.21,B2IV,4.1,886
3179,Diphda,β Cet,10.8976,-17.9866,33.86,232.79,32.71,2.04,1.03,K0III,13.0,4128
67927,Izar,ε Boo,221.2461,27.0742,16.26,-50.65,20.10,2.37,1.23,K0II-III,-16.3,121409
7607,Rukbah,δ Cas,21.4538,60.2354,32.77,297.0,-49.3,2.68,0.26,A5IV,7.5,8538
104732,Sadalmelik,α Aqr,331.4461,-0.3199,6.23,18.25,-9.39,2.95,0.98,G2Ib,7.5,209750
103389,Sadalsuud,β Aqr,322.8897,-5.5712,5.33,18.77,-8.22,2.91,0.83,G0Ib,6.5,204867
107315,Biham,θ Peg,326.7606,6.1978,35.60,286.97,33.47,3.52,0.17,A1Va,3.5,210418
13847,Mira,ο Cet,34.8368,-2.9774,10.91,9.33,-237.36,3.04,1.42,M7IIIe,63.5,14386
677,Schedar,α Cas,10.1268,56.5373,14.27,50.88,-32.13,2.24,1.17,K0IIIa,-4.3,3712
15330,Rana,δ Eri,55.8124,-9.7634,110.58,-96.12,745.12,3.54,0.91,K1III-IV,-6.1,23249
92946,Alshain,β Aql,298.8283,6.4068,73.03,45.24,-481.71,3.71,1.01,G8IVe,-39.9,177724
97278,Tarazed,γ Aql,296.5648,10.6134,8.73,15.64,-3.10,2.72,1.50,K3II,-2.3,186791
